age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30.00,unemployed,married,primary,no,1787.00,no,no,cellular,19.00,oct,79.00,1.00,-1.00,0.00,unknown,no
33.00,services,married,secondary,no,4789.00,yes,yes,cellular,11.00,may,220.00,1.00,339.00,4.00,failure,no
35.00,management,single,tertiary,no,1350.00,yes,no,cellular,16.00,apr,185.00,1.00,330.00,1.00,failure,no
30.00,management,married,tertiary,no,1476.00,yes,yes,unknown,3.00,jun,199.00,4.00,-1.00,0.00,unknown,no
59.00,blue-collar,married,secondary,no,0.00,yes,no,unknown,5.00,may,226.00,1.00,-1.00,0.00,unknown,no
35.00,management,single,tertiary,no,747.00,no,no,cellular,23.00,feb,141.00,2.00,176.00,3.00,failure,no
36.00,self-employed,married,tertiary,no,307.00,yes,no,cellular,14.00,may,341.00,1.00,330.00,2.00,other,no
39.00,technician,married,secondary,no,147.00,yes,no,cellular,6.00,may,151.00,2.00,-1.00,0.00,unknown,no
41.00,entrepreneur,married,tertiary,no,221.00,yes,no,unknown,14.00,may,57.00,2.00,-1.00,0.00,unknown,no
43.00,services,married,primary,no,-88.00,yes,yes,cellular,17.00,apr,313.00,1.00,147.00,2.00,failure,no
39.00,services,married,secondary,no,9374.00,yes,no,unknown,20.00,may,273.00,1.00,-1.00,0.00,unknown,no
43.00,admin.,married,secondary,no,264.00,yes,no,cellular,17.00,apr,113.00,2.00,-1.00,0.00,unknown,no
36.00,technician,married,tertiary,no,1109.00,no,no,cellular,13.00,aug,328.00,2.00,-1.00,0.00,unknown,no
20.00,student,single,secondary,no,502.00,no,no,cellular,30.00,apr,261.00,1.00,-1.00,0.00,unknown,yes
31.00,blue-collar,married,secondary,no,360.00,yes,yes,cellular,29.00,jan,89.00,1.00,241.00,1.00,failure,no
40.00,management,married,tertiary,no,194.00,no,yes,cellular,29.00,aug,189.00,2.00,-1.00,0.00,unknown,no
56.00,technician,married,secondary,no,4073.00,no,no,cellular,27.00,aug,239.00,5.00,-1.00,0.00,unknown,no
37.00,admin.,single,tertiary,no,2317.00,yes,no,cellular,20.00,apr,114.00,1.00,152.00,2.00,failure,no
25.00,blue-collar,single,primary,no,-221.00,yes,no,unknown,23.00,may,250.00,1.00,-1.00,0.00,unknown,no
31.00,services,married,secondary,no,132.00,no,no,cellular,7.00,jul,148.00,1.00,152.00,1.00,other,no
38.00,management,divorced,unknown,no,0.00,yes,no,cellular,18.00,nov,96.00,2.00,-1.00,0.00,unknown,no
42.00,management,divorced,tertiary,no,16.00,no,no,cellular,19.00,nov,140.00,3.00,-1.00,0.00,unknown,no
